k	DP	PB
0	1	1
1	1	1
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	1
10	0.999999	0.999999
11	0.999995	0.999998
12	0.999977	0.999991
13	0.999921	0.999966
14	0.999764	0.999888
15	0.999375	0.999667
16	0.998506	0.999101
17	0.996738	0.997773
18	0.993422	0.994917
19	0.987654	0.989265
20	0.978284	0.978932
21	0.963992	0.961432
22	0.943426	0.933909
23	0.91539	0.893609
24	0.879045	0.838568
25	0.834082	0.768311
26	0.78083	0.684358
27	0.720267	0.590306
28	0.653944	0.491383
29	0.58383	0.393584
30	0.512117	0.302597
31	0.441009	0.222861
32	0.372551	0.15698
33	0.308479	0.105617
34	0.250139	0.0678051
35	0.198439	0.0415024
36	0.153853	0.0242041
37	0.116446	0.0134426
38	0.0859371	0.0071069
39	0.0617666	0.00357543
40	0.0431848	0.00171121
41	0.0293364	0.000778925
42	0.0193417	0.000337138
43	0.0123628	0.000138723
44	0.0076528	5.42534e-05
45	0.00458308	2.0163e-05
46	0.00265273	7.11928e-06
47	0.00148251	2.38768e-06
48	0.000799154	7.60443e-07
49	0.000415102	2.29931e-07
50	0.000207548	6.59848e-08
51	9.97811e-05	1.79669e-08
52	4.60742e-05	4.64025e-09
53	2.04096e-05	1.13629e-09
54	8.66247e-06	2.63722e-10
55	3.51816e-06	5.79867e-11
56	1.36544e-06	1.20735e-11
57	5.05714e-07	2.37924e-12
58	1.78483e-07	4.43522e-13
59	5.99418e-08	7.81641e-14
60	1.91294e-08	1.30149e-14
61	5.79355e-09	2.04606e-15
62	1.66325e-09	3.03476e-16
63	4.52189e-10	4.24343e-17
64	1.16341e-10	5.58893e-18
65	2.83157e-11	6.92728e-19
66	6.51917e-12	8.07224e-20
67	1.42028e-12	8.83415e-21
68	2.9299e-13	9.06947e-22
69	5.72817e-14	8.72396e-23
70	1.06235e-14	7.85214e-24
71	1.87038e-15	6.60369e-25
72	3.12699e-16	5.18134e-26
73	4.96216e-17	3.78645e-27
74	7.46426e-18	2.57262e-28
75	1.06194e-18	1.6219e-29
76	1.42457e-19	9.46794e-31
77	1.79539e-20	5.10584e-32
78	2.11734e-21	2.53726e-33
79	2.32685e-22	1.15866e-34
80	2.37262e-23	4.84758e-36
81	2.23477e-24	1.852e-37
82	1.93487e-25	6.4375e-39
83	1.53116e-26	2.02774e-40
84	1.09982e-27	5.76223e-42
85	7.10789e-29	1.46999e-43
86	4.08715e-30	3.34808e-45
87	2.06156e-31	6.7667e-47
88	8.96258e-33	1.20526e-48
89	3.28827e-34	1.87745e-50
90	9.93374e-36	2.53557e-52
91	2.40189e-37	2.93997e-54
92	4.49571e-39	2.89417e-56
93	6.24421e-41	2.38809e-58
94	6.05075e-43	1.62714e-60
95	3.66275e-45	8.99225e-63
96	1.05063e-47	3.94196e-65
97	0	1.33126e-67
98	0	3.3234e-70
99	0	5.74998e-73
100	0	6.13113e-76
101	0	3.02373e-79
